what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498422860
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353498423031
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353498423125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498423202
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353498423265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498424821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498424821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498424868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498500566
error,log,,,"The project description file (.project) for 'myfinances' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1353498503756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498503896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498504876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498505732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498505732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353498505795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353499159117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353499166707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353499166723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353499166769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353500744401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353500748392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353500996960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501000921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501002729
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1353501002729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353501002729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501012912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501031156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501035849
started,bundle,org.eclipse.m2e.discovery,1.1.0.20120130-1704,"org.eclipse.m2e.discovery",1353501041509
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1353501054015
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1353501054015
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1353501054140
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1353501054327
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1353501054405
started,bundle,org.eclipse.ecf.discovery,4.0.0.v20110829-0349,"org.eclipse.ecf.discovery",1353501054577
started,bundle,org.eclipse.ecf.provider.discovery,2.1.200.v20110829-0349,"org.eclipse.ecf.provider.discovery",1353501054577
started,bundle,org.eclipse.ecf.provider.jmdns,4.1.0.v20110829-0349,"org.eclipse.ecf.provider.jmdns",1353501054639
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1353501054998
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1353501055013
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1353501062265
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1353501062390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501124005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1353501124021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501128201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501128216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501128294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501144794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501149160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501149176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501149223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501164568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501167406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501174346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501176436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501179492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501183940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501184298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501185325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501185371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501186864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501193537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501197503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501198591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501198669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501199493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501222061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501222497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501223336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501226198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501226571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501233804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501241471
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1353501246744
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501252234
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501252296
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1353501255982
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501260555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501266263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501268083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1353501274615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501274895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501282749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501284616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501329035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501340964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501352225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1353501352272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501354091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501355336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501355367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501356424
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501360079
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501360157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501360266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1353501360297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353501361246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501362334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501375306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353501375539
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501376488
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501376488
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501377328
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501378883
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501378961
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501381465
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1353501381465
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501382274
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501387624
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501399055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501403612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353501407485
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1353501407501
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501409896
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501409974
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501413271
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501413271
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501414577
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501415790
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501415868
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501417346
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501417346
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501417952
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1353501422463
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1353501422572
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501428311
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1353501428311
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501429617
opened,editor,org.eclipse.m2e.editor,1.1.0.20120130-1704,"org.eclipse.m2e.editor.MavenPomEditor",1353501433412
activated,editor,org.eclipse.m2e.editor,1.1.0.20120130-1704,"org.eclipse.m2e.editor.MavenPomEditor",1353501433583
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501439773
closed,editor,org.eclipse.m2e.editor,1.1.0.20120130-1704,"org.eclipse.m2e.editor.MavenPomEditor",1353501439773
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353501440442
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501442604
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501442697
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1353501446290
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1353501446290
